3409 3409      #   type=2000 audit(0.0:1): initialized
3409 3409  auditd type=2000 audit(0.0:1): initialized 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_get_apsd_result: APSD_STATUS = 0x00 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_get_prop_ufp_mode: TYPE_C_STATUS_1 = 0x00 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_dc_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_batt_health: BATTERY_CHARGER_STATUS_2 = 0x08 
0 0  ueventd firmware: loading 'goodix_config.cfg' for '/devices/platform/soc/78b7000.i2c/i2c-3/3-005d/firmware/goodix_config.cfg' 
0 0  init Service 'exec 1 (/vendor/bin/modprobe -a -d /vendor/lib/modules msm_11ad_proxy)' (pid 374) exited with status 1 waiting took 0.174000 seconds 
0 0  init processing action (early-init) from (/vendor/etc/init/hw/init.target.rc:32) 
0 0  init starting service 'exec 2 (/vendor/bin/modprobe -a -d /vendor/lib/modules audio_apr audio_adsp_loader audio_q6_notifier audio_q6 audio_usf audio_native audio_pinctrl_wcd audio_swr audio_platform audio_swr_ctrl audio_hdmi audio_wcd9xxx audio_wcd_core audio_wsa881x_analog audio_wsa881x audio_mbhc audio_stub audio_digital_cdc audio_analog_cdc audio_wcd_cpe audio_cpe_lsm audio_wcd9335 audio_machine_sdm450 audio_machine_ext_sdm450)'... 
0 0  init SVC_EXEC pid 376 (uid 0 gid 0+0 context u:r:vendor_modprobe:s0) started; waiting... 
0 0  q6_notifier_dlkm loading out-of-tree module taints kernel. 
0 0  audio_notifier_init PDR register failed, ret = -19, disable service 
0 0  audio_notifer_reg_service service SSR_ADSP is in use 
0 0  audio_notifer_reg_service service SSR_MODEM is in use 
0 0  adsp_loader_dlkm no symbol version for apr_set_modem_state 
0 0   CHRDEV "avtimer" major number 222 goes below the dynamic allocation range 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_icl_change_work: icl_settled=500000 
0 0   get prop 4 is not supported in usb-main 
0 0   Couldn't get prop 4 rc = -22 
0 0  pmi632_charger smblib_get_charge_param: float voltage = 4400000 (0x50) 
0 0  pmi632_charger smblib_get_charge_param: fast charge current = 2000000 (0x28) 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0   <<-GTP-INFO->> Update status for Charger Plugin 
0 0  i2c-msm-v2 78b7000.i2c msm_bus_scale_register_client(mstr-id:86):0x17 (ok) 
0 0  msm-dai-tdm soc qcom,msm-dai-tdm-pri-rx: msm_dai_tdm_q6_probe: dev_name: soc:qcom,msm-dai-tdm-pri-rx group_id: 0x9100 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-pri-rx:qcom,msm-dai-q6-tdm-pri-rx-0: msm_dai_q6_tdm_dev_probe: dev_name: soc:qcom,msm-dai-tdm-pri-rx:qcom,msm-dai-q6-tdm-pri-rx-0 dev_id: 0x9000 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-pri-rx:qcom,msm-dai-q6-tdm-pri-rx-0: msm_dai_q6_tdm_dev_probe: Custom tdm header not supported 
0 0  msm-dai-tdm soc qcom,msm-dai-tdm-pri-tx: msm_dai_tdm_q6_probe: dev_name: soc:qcom,msm-dai-tdm-pri-tx group_id: 0x9101 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-pri-tx:qcom,msm-dai-q6-tdm-pri-tx-0: msm_dai_q6_tdm_dev_probe: dev_name: soc:qcom,msm-dai-tdm-pri-tx:qcom,msm-dai-q6-tdm-pri-tx-0 dev_id: 0x9001 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-pri-tx:qcom,msm-dai-q6-tdm-pri-tx-0: msm_dai_q6_tdm_dev_probe: Custom tdm header not supported 
0 0  msm-dai-tdm soc qcom,msm-dai-tdm-sec-rx: msm_dai_tdm_q6_probe: dev_name: soc:qcom,msm-dai-tdm-sec-rx group_id: 0x9110 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-sec-rx:qcom,msm-dai-q6-tdm-sec-rx-0: msm_dai_q6_tdm_dev_probe: dev_name: soc:qcom,msm-dai-tdm-sec-rx:qcom,msm-dai-q6-tdm-sec-rx-0 dev_id: 0x9010 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-sec-rx:qcom,msm-dai-q6-tdm-sec-rx-0: msm_dai_q6_tdm_dev_probe: Custom tdm header not supported 
0 0  msm-dai-tdm soc qcom,msm-dai-tdm-sec-tx: msm_dai_tdm_q6_probe: dev_name: soc:qcom,msm-dai-tdm-sec-tx group_id: 0x9111 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-sec-tx:qcom,msm-dai-q6-tdm-sec-tx-0: msm_dai_q6_tdm_dev_probe: dev_name: soc:qcom,msm-dai-tdm-sec-tx:qcom,msm-dai-q6-tdm-sec-tx-0 dev_id: 0x9011 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-sec-tx:qcom,msm-dai-q6-tdm-sec-tx-0: msm_dai_q6_tdm_dev_probe: Custom tdm header not supported 
0 0  msm-dai-tdm soc qcom,msm-dai-tdm-tert-rx: msm_dai_tdm_q6_probe: dev_name: soc:qcom,msm-dai-tdm-tert-rx group_id: 0x9120 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-tert-rx:qcom,msm-dai-q6-tdm-tert-rx-0: msm_dai_q6_tdm_dev_probe: dev_name: soc:qcom,msm-dai-tdm-tert-rx:qcom,msm-dai-q6-tdm-tert-rx-0 dev_id: 0x9020 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-tert-rx:qcom,msm-dai-q6-tdm-tert-rx-0: msm_dai_q6_tdm_dev_probe: Custom tdm header not supported 
0 0  msm-dai-tdm soc qcom,msm-dai-tdm-tert-tx: msm_dai_tdm_q6_probe: dev_name: soc:qcom,msm-dai-tdm-tert-tx group_id: 0x9121 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-tert-tx:qcom,msm-dai-q6-tdm-tert-tx-0: msm_dai_q6_tdm_dev_probe: dev_name: soc:qcom,msm-dai-tdm-tert-tx:qcom,msm-dai-q6-tdm-tert-tx-0 dev_id: 0x9021 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-tert-tx:qcom,msm-dai-q6-tdm-tert-tx-0: msm_dai_q6_tdm_dev_probe: Custom tdm header not supported 
0 0  msm-dai-tdm soc qcom,msm-dai-tdm-quat-rx: msm_dai_tdm_q6_probe: dev_name: soc:qcom,msm-dai-tdm-quat-rx group_id: 0x9130 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-quat-rx:qcom,msm-dai-q6-tdm-quat-rx-0: msm_dai_q6_tdm_dev_probe: dev_name: soc:qcom,msm-dai-tdm-quat-rx:qcom,msm-dai-q6-tdm-quat-rx-0 dev_id: 0x9030 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-quat-rx:qcom,msm-dai-q6-tdm-quat-rx-0: msm_dai_q6_tdm_dev_probe: Custom tdm header not supported 
0 0  msm-dai-tdm soc qcom,msm-dai-tdm-quat-tx: msm_dai_tdm_q6_probe: dev_name: soc:qcom,msm-dai-tdm-quat-tx group_id: 0x9131 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-quat-tx:qcom,msm-dai-q6-tdm-quat-tx-0: msm_dai_q6_tdm_dev_probe: dev_name: soc:qcom,msm-dai-tdm-quat-tx:qcom,msm-dai-q6-tdm-quat-tx-0 dev_id: 0x9031 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-quat-tx:qcom,msm-dai-q6-tdm-quat-tx-0: msm_dai_q6_tdm_dev_probe: Custom tdm header not supported 
0 0  msm-dai-tdm soc qcom,msm-dai-tdm-quin-rx: msm_dai_tdm_q6_probe: dev_name: soc:qcom,msm-dai-tdm-quin-rx group_id: 0x9140 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-quin-rx:qcom,msm-dai-q6-tdm-quin-rx-0: msm_dai_q6_tdm_dev_probe: dev_name: soc:qcom,msm-dai-tdm-quin-rx:qcom,msm-dai-q6-tdm-quin-rx-0 dev_id: 0x9040 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-quin-rx:qcom,msm-dai-q6-tdm-quin-rx-0: msm_dai_q6_tdm_dev_probe: Custom tdm header not supported 
0 0  msm-dai-tdm soc qcom,msm-dai-tdm-quin-tx: msm_dai_tdm_q6_probe: dev_name: soc:qcom,msm-dai-tdm-quin-tx group_id: 0x9141 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-quin-tx:qcom,msm-dai-q6-tdm-quin-tx-0: msm_dai_q6_tdm_dev_probe: dev_name: soc:qcom,msm-dai-tdm-quin-tx:qcom,msm-dai-q6-tdm-quin-tx-0 dev_id: 0x9041 
0 0  msm-dai-q6-tdm soc qcom,msm-dai-tdm-quin-tx:qcom,msm-dai-q6-tdm-quin-tx-0: msm_dai_q6_tdm_dev_probe: Custom tdm header not supported 
0 0   <<-GTP-INFO->> chr_state[2] = 0 
0 0  
0 0   <<-GTP-INFO->> chr_state[2] = 0 
0 0  msm-cdc-pinctrl soc wsa881x_analog_clk_pctrl: msm_cdc_pinctrl_probe: Cannot get aud_active pinctrl state:-19 
0 0   <<-GTP-INFO->> chr_state[2] = 0 
0 0  i2c-msm-v2 78b6000.i2c msm_bus_scale_register_client(mstr-id:86):0x18 (ok) 
0 0  wsa881x-i2c-codec 2-000f No cache used with register defaults set! 
0 0   <<-GTP-INFO->> chr_state[2] = 0 
0 0  pmi632_charger usb_source_change_irq_handler: APSD_STATUS = 0x01 
0 0  pmi632_charger smblib_get_apsd_result: APSD_STATUS = 0x01 
0 0   read usbid results.physical=1b3417 
0 0  msm_otg 78db000.usb msm_otg_read_adc_id_state 1782807 
0 0  pmi632_charger smblib_update_usb_type: real_charger_type=4 APSD=SDP PD=0 
0 0  pmi632_charger smblib_get_prop_typec_mode: TYPE_C_MISC_STATUS_REG = 0xa0 
0 0  pmi632_charger smblib_get_prop_ufp_mode: TYPE_C_STATUS_1 = 0x00 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_get_apsd_result: APSD_STATUS = 0x01 
0 0   read usbid results.physical=1b33d6 
0 0  msm_otg 78db000.usb msm_otg_read_adc_id_state 1782742 
0 0  EXTCON BSV set 
0 0  chg_detection msm_otg_set_vbus_state 
0 0  pmi632_charger default_irq_handler: IRQ: aicl-done 
0 0  AICL STATUS(1106) 2 5 2 2 40 
0 0  msm_otg 78db000.usb chg detection work,state 0, type 0 
0 0  msm_otg 78db000.usb OTG runtime resume 
0 0  pmi632_charger smblib_handle_apsd_done: IRQ: apsd-done rising; SDP detected 
0 0  pmi632_charger smblib_handle_hvdcp_detect_done: IRQ: hvdcp-detect-done falling 
0 0  pmi632_charger smblib_handle_hvdcp_check_timeout: IRQ: smblib_handle_hvdcp_check_timeout falling 
0 0  pmi632_charger smblib_handle_sdp_enumeration_done: IRQ: sdp-enumeration-done falling 
0 0  pmi632_charger smblib_handle_slow_plugin_timeout: IRQ: slow-plugin-timeout falling 
0 0  pmi632_charger default_irq_handler: IRQ: aicl-done 
0 0  pmi632_charger usb_source_change_irq_handler: APSD_STATUS = 0x01 
0 0  AICL STATUS(1106) 2 2 2 2 41 
0 0   get prop 4 is not supported in usb-main 
0 0   Couldn't get prop 4 rc = -22 
0 0  pmi632_charger smblib_get_charge_param: float voltage = 4400000 (0x50) 
0 0  pmi632_charger smblib_get_charge_param: fast charge current = 2000000 (0x28) 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 100000 (0x02) 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 100000 (0x02) 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 100000 (0x02) 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_dc_online: POWER_PATH_STATUS = 0x95 
0 0  QG-K qg_status_change_work: charge_status=1 charge_done=0 
0 0  pmi632_charger smblib_get_apsd_result: APSD_STATUS = 0x01 
0 0   read usbid results.physical=1b3498 
0 0  msm_otg 78db000.usb msm_otg_read_adc_id_state 1782936 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 100000 (0x02) 
0 0  pmi632_charger smblib_get_prop_ufp_mode: TYPE_C_STATUS_1 = 0x00 
0 0  msm_hsusb_ldo_enable USB reg mode (1) (OFF/HPM/LPM) 
0 0  msm_hsusb_config_vddcx min_vol:800000 max_vol:800000 
0 0  msm_otg 78db000.usb block_reset ASSERT 
0 0  msm_otg 78db000.usb block_reset DEASSERT 
0 0  msm_otg 78db000.usb phy_reset: success 
0 0  pmi632_charger smblib_get_prop_batt_health: BATTERY_CHARGER_STATUS_2 = 0x08 
0 0  QG-K qg_charge_full_update: msoc=68 health=1 charge_full=0 charge_done=0 
0 0  i2c-msm-v2 78b6000.i2c NACK: slave not responding, ensure its powered: msgs(n:2 cur:0 tx) bc(rx:1 tx:1) mode:FIFO slv_addr:0xf MSTR_STS:0x011383c8 OPER:0x00000010 
0 0   Failed reading reg=5 - retry(0) 
0 0  msm_otg 78db000.usb ulpi: write 0x39 to 0x81 
0 0  msm_otg 78db000.usb ulpi: write 0x37 to 0x82 
0 0   USB PHY is exited from retention 
0 0  msm_otg 78db000.usb USB exited from low power mode 
0 0  msm_otg 78db000.usb chg detection work,state 2, type 0 
0 0  i2c-msm-v2 78b6000.i2c NACK: slave not responding, ensure its powered: msgs(n:2 cur:0 tx) bc(rx:1 tx:1) mode:FIFO slv_addr:0xf MSTR_STS:0x011383c8 OPER:0x00000010 
0 0   Failed reading reg=5 - retry(1) 
0 0  msm_otg 78db000.usb chg detection work,state 3, type 0 
0 0  msm_otg 78db000.usb chg detection work,state 6, type 1 
0 0  msm_otg 78db000.usb chg detection work,state 7, type 1 
0 0   b_idle work 
0 0   b_sess_vld 
0 0  msm_otg 78db000.usb gadget on 
0 0  i2c-msm-v2 78b6000.i2c NACK: slave not responding, ensure its powered: msgs(n:2 cur:0 tx) bc(rx:1 tx:1) mode:FIFO slv_addr:0xf MSTR_STS:0x011383c8 OPER:0x00000010 
0 0   Failed reading reg=5 - retry(2) 
0 0  i2c-msm-v2 78b6000.i2c NACK: slave not responding, ensure its powered: msgs(n:2 cur:0 tx) bc(rx:1 tx:1) mode:FIFO slv_addr:0xf MSTR_STS:0x011383c8 OPER:0x00000010 
0 0   Failed reading reg=5 - retry(3) 
0 0  i2c-msm-v2 78b6000.i2c NACK: slave not responding, ensure its powered: msgs(n:2 cur:0 tx) bc(rx:1 tx:1) mode:FIFO slv_addr:0xf MSTR_STS:0x011383c8 OPER:0x00000010 
0 0   Failed reading reg=5 - retry(4) 
0 0  of_batterydata_get_best_profile ATL_4850mAH_FG_averaged_MasterSlave_Jan3th2019 found 
0 0  QCOM-STEPCHG read_range_data_from_node: Count qcom,step-chg-ranges failed, rc=-22 
0 0  i2c-msm-v2 78b6000.i2c NACK: slave not responding, ensure its powered: msgs(n:2 cur:0 tx) bc(rx:1 tx:1) mode:FIFO slv_addr:0xf MSTR_STS:0x011383c8 OPER:0x00000010 
0 0   Failed reading reg=5 rc=-107 
0 0  wsa881x-i2c-codec 2-000f failed to read wsa881x with addr f 
0 0  wsa881x-i2c-codec 2-000f failed to ping wsa with addr:f, ret = -107 
0 0  pmic_analog_codec 200f000.qcom,spmi qcom,pm8953@1:analog-codec@f000: Adsp is not loaded yet 0 
0 0  pmic_analog_codec 200f000.qcom,spmi qcom,pm8953@1:analog-codec@f000: Adsp is not loaded yet 0 
0 0  msm8952-asoc-wcd c051000.sound msm8952_asoc_machine_probe:of read string qcom,msm-ext-pa i 0 ret 0 
0 0  msm8952-asoc-wcd c051000.sound msm8952_asoc_machine_probe: missing qcom,msm-spk-ext-pa in dt node 
0 0  msm8952-asoc-wcd c051000.sound property qcom,cdc-us-euro-gpios in node /soc/sound not found -2 
0 0  msm8952-asoc-wcd c051000.sound is_ext_spk_gpio_support: missing qcom,msm-spk-ext-pa in dt node 
0 0  msm8952-asoc-wcd c051000.sound Headset is using external micbias 
0 0  msm8952-asoc-wcd c051000.sound ASoC: platform /soc/qcom,msm-pcm-voice not registered 
0 0  msm8952-asoc-wcd c051000.sound snd_soc_register_card failed (-517) 
0 0  init Service 'exec 2 (/vendor/bin/modprobe -a -d /vendor/lib/modules audio_apr audio_adsp_loader audio_q6_notifier audio_q6 audio_usf audio_native audio_pinctrl_wcd audio_swr audio_platform audio_swr_ctrl audio_hdmi audio_wcd9xxx audio_wcd_core audio_wsa881x_analog audio_wsa881x audio_mbhc audio_stub audio_digital_cdc audio_analog_cdc audio_wcd_cpe audio_cpe_lsm audio_wcd9335 audio_machine_sdm450 audio_machine_ext_sdm450)' (pid 376) exited with status 1 waiting took 1.157000 seconds 
0 0  init Command 'mkdir /firmware 0771 system system' action=early-init (/vendor/etc/init/hw/init.target.rc:34) took 0ms and failed: mkdir() failed: Read-only file system 
0 0  init Command 'mkdir /system 0777 root root' action=early-init (/vendor/etc/init/hw/init.target.rc:35) took 4ms and failed: fchmodat() failed: Read-only file system 
0 0  init Command 'mkdir /bt_firmware 0771 system system' action=early-init (/vendor/etc/init/hw/init.target.rc:36) took 0ms and failed: mkdir() failed: Read-only file system 
0 0  init Command 'symlink /data/tombstones /tombstones' action=early-init (/vendor/etc/init/hw/init.target.rc:37) took 1ms and failed: symlink() failed: Read-only file system 
0 0  init Command 'mkdir /dsp 0771 media media' action=early-init (/vendor/etc/init/hw/init.target.rc:38) took 0ms and failed: mkdir() failed: Read-only file system 
0 0  init processing action (early-init) from (/vendor/etc/init/hw/init.target.rc:501) 
0 0  init Command 'mkdir /lenovocust 0771 system system' action=early-init (/vendor/etc/init/hw/init.target.rc:502) took 0ms and failed: fchmodat() failed: Read-only file system 
0 0  init processing action (wait_for_coldboot_done) from (<Builtin Action>:0) 
0 0  ueventd Coldboot took 1.826 seconds 
0 0  init wait for '/dev/.coldboot_done' took 508ms 
0 0  init Command 'wait_for_coldboot_done' action=wait_for_coldboot_done (<Builtin Action>:0) took 508ms and succeeded 
0 0  init processing action (MixHwrngIntoLinuxRng) from (<Builtin Action>:0) 
0 0  init Mixed 512 bytes from /dev/hw_random into /dev/urandom 
0 0  init processing action (SetMmapRndBits) from (<Builtin Action>:0) 
0 0  init processing action (SetKptrRestrict) from (<Builtin Action>:0) 
0 0  init processing action (keychord_init) from (<Builtin Action>:0) 
0 0  init could not open /dev/keychord: No such file or directory 
0 0  init processing action (console_init) from (<Builtin Action>:0) 
0 0  init processing action (init) from (/init.rc:33) 
0 0  init Command 'copy /default.prop /dev/urandom' action=init (/init.rc:38) took 0ms and failed: Could not read input file '/default.prop': open() failed: Too many symbolic links encountered 
0 0   Trying to create more than 5 SchedTune boosting groups 
0 0  init Command 'mkdir /dev/stune/audio-app' action=init (/init.rc:56) took 0ms and failed: mkdir() failed: No space left on device 
0 0   Registered swp emulation handler 
0 0  init Command 'write /sys/class/leds/vibrator/trigger transient' action=init (/init.rc:263) took 3ms and failed: Unable to write to file '/sys/class/leds/vibrator/trigger': Unable to write file contents: Invalid argument 
0 0  init processing action (init) from (/init.environ.rc:2) 
0 0  init processing action (init) from (/vendor/etc/init/hw/init.qcom.rc:49) 
0 0  init processing action (init) from (/vendor/etc/init/hw/init.target.rc:89) 
0 0  init processing action (MixHwrngIntoLinuxRng) from (<Builtin Action>:0) 
0 0  init Mixed 512 bytes from /dev/hw_random into /dev/urandom 
0 0  init processing action (late-init) from (/init.rc:281) 
0 0  init processing action (late-init) from (/system/etc/init/atrace.rc:3) 
0 0  init processing action (queue_property_triggers) from (<Builtin Action>:0) 
0 0  init processing action (fs) from (/vendor/etc/init/hw/init.target.rc:40) 
